Date,Luminosite,Humidite,CO2,Temperature,Batterie
2023-12-10 21:13:11,0.0,46.0,393.0,22.4,3.6510000000000002
2023-12-10 21:18:11,0.0,46.0,396.0,22.4,3.6510000000000002
2023-12-10 21:23:11,0.0,46.0,408.0,22.4,3.6510000000000002
2023-12-10 21:28:11,0.0,46.0,409.0,22.4,3.6510000000000002
2023-12-10 21:33:11,0.0,46.0,399.0,22.4,3.6510000000000002
2023-12-10 21:38:11,0.0,46.0,402.0,22.4,3.6510000000000002
2023-12-10 21:43:11,0.0,46.0,395.0,22.3,3.6510000000000002
2023-12-10 21:48:11,0.0,46.0,401.0,22.4,3.6510000000000002
2023-12-10 21:53:11,0.0,46.0,412.0,22.4,3.6510000000000002
2023-12-10 21:58:11,0.0,46.0,403.0,22.4,3.6510000000000002
2023-12-10 22:03:11,0.0,46.0,408.0,22.4,3.6510000000000002
2023-12-10 22:08:11,0.0,46.0,400.0,22.4,3.6510000000000002
2023-12-10 22:13:11,0.0,46.0,398.0,22.4,3.6510000000000002
2023-12-10 22:18:11,0.0,46.0,406.0,22.4,3.6510000000000002
2023-12-10 22:23:11,0.0,46.0,404.0,22.3,3.6510000000000002
2023-12-10 22:28:11,0.0,46.0,400.0,22.4,3.6510000000000002
2023-12-10 22:33:11,0.0,46.0,395.0,22.3,3.6510000000000002
2023-12-10 22:38:11,0.0,46.0,407.0,22.4,3.6510000000000002
2023-12-10 22:43:11,0.0,46.0,411.0,22.4,3.6510000000000002
2023-12-10 22:48:11,0.0,47.0,396.0,22.3,3.6510000000000002
2023-12-10 22:53:11,0.0,46.0,414.0,22.3,3.6510000000000002
2023-12-10 22:58:11,0.0,46.0,418.0,22.4,3.6510000000000002
2023-12-10 23:03:11,0.0,46.0,416.0,22.3,3.6510000000000002
2023-12-10 23:08:11,0.0,47.0,412.0,22.4,3.6510000000000002
2023-12-10 23:13:11,0.0,47.0,410.0,22.4,3.6510000000000002
2023-12-10 23:18:11,0.0,46.0,408.0,22.4,3.6510000000000002
2023-12-10 23:23:11,0.0,47.0,409.0,22.4,3.6510000000000002
2023-12-10 23:28:11,0.0,47.0,406.0,22.3,3.6510000000000002
2023-12-10 23:33:11,0.0,47.0,400.0,22.3,3.6510000000000002
2023-12-10 23:38:11,0.0,47.0,418.0,22.3,3.6510000000000002
2023-12-10 23:43:11,0.0,47.0,414.0,22.4,3.6510000000000002
2023-12-10 23:48:11,0.0,47.0,396.0,22.3,3.6510000000000002
2023-12-10 23:53:11,0.0,47.0,399.0,22.4,3.6510000000000002
2023-12-10 23:58:11,0.0,47.0,398.0,22.3,3.6510000000000002
2023-12-11 00:03:11,0.0,47.0,412.0,22.3,3.6510000000000002
2023-12-11 00:08:11,0.0,47.0,415.0,22.4,3.653
2023-12-11 00:13:11,0.0,47.0,391.0,22.4,3.6510000000000002
2023-12-11 00:18:11,0.0,47.0,390.0,22.3,3.6510000000000002
2023-12-11 00:23:11,0.0,47.0,409.0,22.4,3.653
2023-12-11 00:28:11,0.0,47.0,411.0,22.3,3.6510000000000002
2023-12-11 00:33:11,0.0,47.0,397.0,22.3,3.6510000000000002
2023-12-11 00:38:11,0.0,47.0,400.0,22.4,3.6510000000000002
2023-12-11 00:43:11,0.0,47.0,392.0,22.4,3.6510000000000002
2023-12-11 00:48:11,0.0,47.0,414.0,22.3,3.6510000000000002
2023-12-11 00:53:11,0.0,47.0,401.0,22.3,3.6510000000000002
2023-12-11 00:58:11,0.0,47.0,406.0,22.3,3.6510000000000002
2023-12-11 01:03:11,0.0,47.0,402.0,22.3,3.6510000000000002
2023-12-11 01:08:11,0.0,46.0,412.0,22.3,3.6510000000000002
2023-12-11 01:13:11,0.0,46.0,398.0,22.3,3.6510000000000002
2023-12-11 01:18:11,0.0,46.0,409.0,22.3,3.6510000000000002
2023-12-11 01:23:11,0.0,46.0,408.0,22.3,3.6510000000000002
2023-12-11 01:28:11,0.0,46.0,402.0,22.3,3.6510000000000002
2023-12-11 01:33:11,0.0,46.0,403.0,22.3,3.6510000000000002
2023-12-11 01:38:11,0.0,46.0,398.0,22.4,3.6510000000000002
2023-12-11 01:43:11,0.0,46.0,395.0,22.2,3.6510000000000002
2023-12-11 01:48:11,0.0,46.0,402.0,22.3,3.6510000000000002
2023-12-11 01:53:11,0.0,46.0,393.0,22.3,3.6510000000000002
2023-12-11 01:58:11,0.0,46.0,409.0,22.3,3.6510000000000002
2023-12-11 02:03:11,0.0,46.0,405.0,22.3,3.6510000000000002
2023-12-11 02:08:11,0.0,46.0,406.0,22.2,3.6510000000000002
2023-12-11 02:13:11,0.0,46.0,412.0,22.2,3.6510000000000002
2023-12-11 02:18:11,0.0,46.0,409.0,22.2,3.6510000000000002
2023-12-11 02:23:11,0.0,45.0,404.0,22.3,3.6510000000000002
2023-12-11 02:28:11,0.0,45.0,408.0,22.2,3.6510000000000002
2023-12-11 02:33:11,0.0,45.0,412.0,22.2,3.6510000000000002
2023-12-11 02:38:11,0.0,45.0,400.0,22.3,3.6510000000000002
2023-12-11 02:43:11,0.0,45.0,407.0,22.2,3.6510000000000002
2023-12-11 02:48:11,0.0,45.0,403.0,22.2,3.6510000000000002
2023-12-11 02:53:11,0.0,45.0,396.0,22.2,3.6510000000000002
2023-12-11 02:58:11,0.0,45.0,409.0,22.2,3.6510000000000002
2023-12-11 03:03:10,0.0,45.0,403.0,22.2,3.6510000000000002
2023-12-11 03:08:11,0.0,45.0,401.0,22.2,3.6510000000000002
2023-12-11 03:13:10,0.0,45.0,402.0,22.2,3.6510000000000002
2023-12-11 03:18:11,0.0,45.0,399.0,22.2,3.6510000000000002
2023-12-11 03:23:10,0.0,45.0,405.0,22.2,3.6510000000000002
2023-12-11 03:28:10,0.0,45.0,405.0,22.2,3.6510000000000002
2023-12-11 03:33:10,0.0,45.0,396.0,22.2,3.6510000000000002
2023-12-11 03:38:10,0.0,45.0,393.0,22.2,3.6510000000000002
2023-12-11 03:43:10,0.0,45.0,385.0,22.2,3.6510000000000002
2023-12-11 03:48:10,0.0,45.0,395.0,22.2,3.6510000000000002
2023-12-11 03:53:10,0.0,45.0,409.0,22.2,3.6510000000000002
2023-12-11 03:58:10,0.0,45.0,394.0,22.2,3.6510000000000002
2023-12-11 04:03:10,0.0,45.0,393.0,22.2,3.6510000000000002
2023-12-11 04:08:10,0.0,44.0,406.0,22.2,3.6510000000000002
2023-12-11 04:13:10,0.0,44.0,405.0,22.2,3.6510000000000002
2023-12-11 04:18:10,0.0,44.0,391.0,22.2,3.6510000000000002
2023-12-11 04:23:10,0.0,45.0,403.0,22.2,3.6510000000000002
2023-12-11 04:28:10,0.0,44.0,395.0,22.2,3.6510000000000002
2023-12-11 04:33:10,0.0,44.0,403.0,22.2,3.6510000000000002
2023-12-11 04:38:10,0.0,44.0,399.0,22.2,3.6510000000000002
2023-12-11 04:43:10,0.0,44.0,404.0,22.2,3.6510000000000002
2023-12-11 04:48:10,0.0,44.0,402.0,22.2,3.6510000000000002
2023-12-11 04:53:10,0.0,44.0,406.0,22.2,3.6510000000000002
2023-12-11 04:58:10,0.0,44.0,403.0,22.2,3.6510000000000002
2023-12-11 05:03:10,0.0,44.0,407.0,22.2,3.6510000000000002
2023-12-11 05:08:10,0.0,44.0,403.0,22.2,3.6510000000000002
2023-12-11 05:13:10,0.0,44.0,390.0,22.2,3.6510000000000002
2023-12-11 05:18:10,0.0,44.0,400.0,22.2,3.648
2023-12-11 05:23:10,0.0,44.0,396.0,22.2,3.6510000000000002
2023-12-11 05:28:10,0.0,44.0,385.0,22.2,3.6510000000000002
2023-12-11 05:33:10,0.0,44.0,395.0,22.2,3.653
2023-12-11 05:38:10,0.0,44.0,385.0,22.2,3.6510000000000002
2023-12-11 05:43:10,0.0,44.0,396.0,22.2,3.6510000000000002
2023-12-11 05:48:10,0.0,44.0,393.0,22.2,3.6510000000000002
2023-12-11 05:53:10,0.0,44.0,403.0,22.2,3.6510000000000002
2023-12-11 05:58:10,0.0,44.0,409.0,22.2,3.6510000000000002
2023-12-11 06:03:10,0.0,44.0,402.0,22.2,3.6510000000000002
2023-12-11 06:08:10,0.0,44.0,399.0,22.2,3.6510000000000002
2023-12-11 06:13:10,0.0,44.0,397.0,22.1,3.6510000000000002
2023-12-11 06:18:10,0.0,44.0,399.0,22.2,3.6510000000000002
2023-12-11 06:23:10,0.0,44.0,397.0,22.2,3.6510000000000002
2023-12-11 06:28:10,0.0,44.0,398.0,22.2,3.6510000000000002
2023-12-11 06:33:10,0.0,44.0,399.0,22.2,3.6510000000000002
2023-12-11 06:38:10,0.0,44.0,406.0,22.2,3.6510000000000002
2023-12-11 06:43:10,0.0,44.0,408.0,22.2,3.6510000000000002
2023-12-11 06:48:10,0.0,44.0,406.0,22.2,3.6510000000000002
2023-12-11 06:53:10,0.0,44.0,415.0,22.2,3.6510000000000002
2023-12-11 06:58:10,0.0,44.0,390.0,22.2,3.6510000000000002
2023-12-11 07:03:10,0.0,44.0,402.0,22.2,3.6510000000000002
2023-12-11 07:08:10,0.0,44.0,408.0,22.2,3.6510000000000002
2023-12-11 07:13:10,0.0,44.0,407.0,22.2,3.6510000000000002
2023-12-11 07:18:10,0.0,44.0,406.0,22.2,3.6510000000000002
2023-12-11 07:23:10,0.0,44.0,402.0,22.2,3.6510000000000002
2023-12-11 07:28:10,0.0,44.0,405.0,22.2,3.6510000000000002
2023-12-11 07:33:10,0.0,44.0,396.0,22.2,3.6510000000000002
2023-12-11 07:38:10,0.0,44.0,410.0,22.2,3.6510000000000002
2023-12-11 07:43:10,0.0,44.0,401.0,22.2,3.6510000000000002
2023-12-11 07:48:10,0.0,44.0,403.0,22.2,3.6510000000000002
2023-12-11 07:53:10,0.0,44.0,403.0,22.2,3.653
2023-12-11 07:58:10,0.0,45.0,425.0,22.2,3.6510000000000002
2023-12-11 08:03:10,0.0,45.0,430.0,22.2,3.6510000000000002
2023-12-11 08:08:10,0.0,45.0,424.0,22.2,3.6510000000000002
2023-12-11 08:13:10,0.0,45.0,415.0,22.2,3.6510000000000002
2023-12-11 08:18:10,0.0,44.0,412.0,22.2,3.6510000000000002
2023-12-11 08:23:10,3.0,45.0,424.0,22.2,3.6510000000000002
2023-12-11 08:28:10,3.0,45.0,416.0,22.3,3.6510000000000002
2023-12-11 08:33:10,3.0,44.0,424.0,22.3,3.6510000000000002
2023-12-11 08:38:10,3.0,44.0,445.0,22.2,3.6510000000000002
2023-12-11 08:43:10,3.0,45.0,432.0,22.3,3.6510000000000002
2023-12-11 08:48:10,3.0,44.0,432.0,22.3,3.6510000000000002
2023-12-11 08:53:10,6.0,44.0,434.0,22.3,3.6510000000000002
2023-12-11 08:58:10,6.0,44.0,439.0,22.3,3.6510000000000002
2023-12-11 09:03:10,121.0,44.0,460.0,22.3,3.6510000000000002
